r,parity_prefix_int,parity_prefix_bin,popcount
8295,774903,10111101001011110111,14
8303,991087,11110001111101101111,15
8351,354271,01010110011111011111,14
8359,851895,11001111111110110111,16
8415,1023647,11111001111010011111,15
8443,716763,10101110111111011011,15
8475,367099,01011001100111111011,13
8511,339775,01010010111100111111,13
8639,717759,10101111001110111111,15
8679,896631,11011010111001110111,14
8687,610031,10010100111011101111,13
8703,226815,00110111010111111111,15
8831,105343,00011001101101111111,13
8859,1019771,11111000111101111011,15
8895,450239,01101101111010111111,15
8935,784247,10111111011101110111,16
8943,585199,10001110110111101111,14
8959,240383,00111010101011111111,14
8987,185339,00101101001111111011,13
9031,716247,10101110110111010111,14
9151,540095,10000011110110111111,13
9183,1015199,11110111110110011111,16
9215,1033215,11111100001111111111,16
9243,32507,00000111111011111011,13
9247,302943,01001001111101011111,13
9287,391895,01011111101011010111,14
9307,773051,10111100101110111011,14
9455,167919,00101000111111101111,13
9467,259035,00111111001111011011,14
9499,351739,01010101110111111011,14
9535,701247,10101011001100111111,13
9575,959991,11101010010111110111,14
9631,970463,11101100111011011111,15
9663,753599,10110111111110111111,17
9695,670623,10100011101110011111,13
9727,504319,01111011000111111111,15
9775,835503,11001011111110101111,15
9831,679159,10100101110011110111,13
9855,620415,10010111011101111111,15
9887,880095,11010110110111011111,15
9967,127471,00011111000111101111,13
9983,247551,00111100011011111111,14
10011,876539,11010101111111111011,16
10087,1030135,11111011011111110111,17
10111,416383,01100101101001111111,13
10143,971999,11101101010011011111,14
10235,515803,01111101111011011011,15
10239,866303,11010011011111111111,16
10303,958015,11101001111000111111,14
10331,913339,11011110111110111011,16
10351,997231,11110011011101101111,15
10367,915839,11011111100101111111,16
10407,481207,01110101011110110111,14
10479,170991,00101001101111101111,13
10491,747483,10110110011111011011,14
10599,899575,11011011100111110111,15
10651,687739,10100111111001111011,14
10703,899791,11011011101011001111,14
10719,81823,00010011111110011111,13
10751,343551,01010011110111111111,15
10843,243131,00111011010110111011,13
10879,111487,00011011001101111111,13
10911,881119,11010111000111011111,14
10919,1043895,11111110110110110111,16
10943,456383,01101111011010111111,15
10959,256975,00111110101111001111,14
10983,241527,00111010111101110111,14
10991,353775,01010110010111101111,13
11003,212443,00110011110111011011,13
11039,781919,10111110111001011111,15
11071,818495,11000111110100111111,14
11135,368255,01011001111001111111,14
11175,981687,11101111101010110111,15
11199,234943,00111001010110111111,13
11263,895999,11011010101111111111,16
11291,448251,01101101011011111011,14
11295,309087,01001011011101011111,13
11367,810743,11000101111011110111,14
11391,97663,00010111110101111111,14
11419,482683,01110101110101111011,14
11495,980343,11101111010101110111,15
11503,817135,11000111011111101111,15
11515,719835,10101111101111011011,15
11519,773375,10111100110011111111,15
11547,357883,01010111010111111011,14
11583,342847,01010011101100111111,13
11591,906199,11011101001111010111,14
11623,507383,01111011110111110111,16
